animal name,feathers,eggs,airborne,aquatic,predator,toothed,backbone,breathes,fins,no legs,2 legs,4 legs,6 legs,8 legs,tail,domestic,catsize,venomous,mammal
aardvark,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1
antelope,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1
bass,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
bear,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1
boar,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
buffalo,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1
calf,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1
carp,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
catfish,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
cavy,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1
cheetah,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1
chicken,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
chub,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
clam,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
crab,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
crayfish,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crow,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
deer,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1
dogfish,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0
dolphin,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1
dove,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
duck,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
elephant,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1
flamingo,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
flea,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
frog,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
frog,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
fruitbat,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
giraffe,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1
girl,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1
gnat,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
goat,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1
gorilla,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1
gull,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
haddock,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
hamster,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1
hare,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1
hawk,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
herring,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
honeybee,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
housefly,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
